PriceList,Catalog,GradeGroup,Price,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-17,I,1825,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-18,10,775,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-18,20,815,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-18,30,845,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-18,40,875,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-18,50,925,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-18,60,975,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-18,70,1075,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-18,F,1625,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-18,I,1825,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-24,10,350,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-24,20,370,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-24,30,385,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-24,40,405,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-24,50,425,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-24,60,445,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-24,70,465,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-24,F,690,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-24,I,750,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-86,10,925,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-86,20,965,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-86,30,995,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-86,40,1025,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-86,50,1075,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-86,60,1125,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-86,70,1225,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-86,F,1775,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-86,I,1975,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-87,10,925,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-87,20,965,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-87,30,995,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-87,40,1025,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-87,50,1075,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-87,60,1125,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-87,70,1225,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-87,F,1775,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-87,I,1975,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-91,10,825,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-91,20,865,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-91,30,895,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-91,40,925,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-91,50,975,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-91,60,1025,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-91,70,1125,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-91,F,1675,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-91,I,1875,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-96,10,825,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-96,20,865,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-96,30,895,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-96,40,925,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-96,50,975,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-96,60,1025,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-96,70,1125,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-96,F,1675,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-96,I,1875,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-97,10,825,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-97,20,865,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-97,30,895,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-97,40,925,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-97,50,975,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-97,60,1025,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-97,70,1125,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-97,F,1675,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-97,I,1875,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-S3,10,950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-S3,20,990,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-S3,30,1020,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-S3,40,1050,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-S3,50,1100,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-S3,60,1150,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-S3,70,1250,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-S3,F,1800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-S3,I,2000,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-01,10,950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-01,20,990,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-01,30,"1,020",,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-01,40,"1,050",,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-01,50,"1,100",,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-01,60,"1,150",,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-01,70,1250,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-01,F,"1,800",,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-01,I,2000,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-02,10,500,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-02,20,520,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-02,30,535,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-02,40,555,,,,,,,,,,,,,,,,,,
